id	Gene	SYMBOL
25	EDEM3	EDEM3
25	EOGT	EOGT
25	EXT1	EXT1
25	EXT2	EXT2
25	FKRP	FKRP
25	FKTN	FKTN
25	FUT8	FUT8
25	G6PC3	G6PC3
25	GALNT2	GALNT2
25	GALNT3	GALNT3
25	GFPT1	GFPT1
25	GMPPA	GMPPA
25	GMPPB	GMPPB
25	GNE	GNE
25	GORAB	GORAB
25	ISPD	ISPD
25	LARGE1	LARGE1
25	MAGT1	MAGT1
25	MAN1B1	MAN1B1
25	MGAT2	MGAT2
25	MOGS	MOGS
25	MPDU1	MPDU1
25	MPI	MPI
25	NGLY1	NGLY1
25	PGAP2	PGAP2
25	PGAP3	PGAP3
25	PGM1	PGM1
25	PGM3	PGM3
25	PIGA	PIGA
25	PIGL	PIGL
25	PIGM	PIGM
25	PIGN	PIGN
25	PIGO	PIGO
25	PIGS	PIGS
25	PIGT	PIGT
25	PIGV	PIGV
25	PIGW	PIGW
25	PMM2	PMM2
25	POMGNT1	POMGNT1
25	POMGNT2	POMGNT2
25	POMK	POMK
25	POMT1	POMT1
25	POMT2	POMT2
25	RFT1	RFT1
25	SEC23B	SEC23B
25	SLC35A1	SLC35A1
25	SLC35A2	SLC35A2
25	SLC35C1	SLC35C1
25	SLC35D1	SLC35D1
25	SLC37A4	SLC37A4
25	SLC39A8	SLC39A8
25	SRD5A3	SRD5A3
25	SSR4	SSR4
25	ST3GAL3	ST3GAL3
25	ST3GAL5	ST3GAL5
25	STT3A	STT3A
25	TMEM165	TMEM165
25	TMEM199	TMEM199
25	TMEM5	TMEM5
25	TUSC3	TUSC3
25	XYLT1	XYLT1
25	XYLT2	XYLT2
25	COG3	COG3
25	DDOST	DDOST
25	DHRSX	DHRSX
25	FUK	FUK
25	LFNG	LFNG
25	MAN2B2	MAN2B2
25	SSR3	SSR3
25	TRAPPC11	TRAPPC11
25	ALG10	ALG10
25	ALG13	ALG13
25	ALG2	ALG2
25	C1GALT1C1	C1GALT1C1
25	CAD	CAD
25	CAMLG	CAMLG
25	COG2	COG2
25	DHDDS	DHDDS
25	GALNT12	GALNT12
25	GLS	GLS
25	NUS1	NUS1
25	OSTC	OSTC
25	SLC35A3	SLC35A3
25	STT3B	STT3B
26	ABCC8	ABCC8
26	AGPAT2	AGPAT2
26	ALMS1	ALMS1
26	BSCL2	BSCL2
26	CISD2	CISD2
26	EIF2AK3	EIF2AK3
26	FOXP3	FOXP3
26	GATA4	GATA4
26	GATA6	GATA6
26	GCK	GCK
26	GLIS3	GLIS3
26	HAMP	HAMP
26	HFE	HFE
26	HFE2	HFE2
26	HNF1A	HNF1A
26	HNF1B	HNF1B
26	HNF4A	HNF4A
26	IER3IP1	IER3IP1
26	INS	INS
26	INSR	INSR
26	KCNJ11	KCNJ11
26	LMNA	LMNA
26	LRBA	LRBA
